,Disease,State,LGA,co_0to28d,co_1to11m,co_12to59m,ci_0to28d,ci_1to11m,ci_12to59m,dio_0to28d,dio_1to11m,dio_12to59m,Month,year,Case Observed total ,Case Investigated Total,Total Cases,Total deaths,Date,ID
62,Malnutrition,Abia,Isiala-Ngwa North,0,1,0,0,0,0.0,0,0,0,Mar,2013,1,0.0,1.0,0,"Friday, March 1, 2013",NGAB
63,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
64,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
65,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
66,Malnutrition,Abia,Isiala-Ngwa North,0,1,1,0,0,0.0,0,0,0,Jul,2013,2,0.0,2.0,0,"Monday, July 1, 2013",NGAB
67,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
68,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
69,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
70,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
71,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
72,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
73,Malnutrition,Abia,Isiala-Ngwa South,0,3,2,0,1,3.0,0,0,0,Feb,2013,5,4.0,9.0,0,"Friday, February 1, 2013",NGAB
74,Malnutrition,Abia,Isiala-Ngwa South,0,0,1,0,1,0.0,0,0,0,Mar,2013,1,1.0,2.0,0,"Friday, March 1, 2013",NGAB
75,Malnutrition,Abia,Isiala-Ngwa South,0,1,0,0,0,0.0,0,0,0,Apr,2013,1,0.0,1.0,0,"Monday, April 1, 2013",NGAB
76,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
77,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
78,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
79,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
80,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
81,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
82,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,1.0,0,0,0,Nov,2013,0,1.0,1.0,0,"Friday, November 1, 2013",NGAB
83,Malnutrition,Abia,Isiala-Ngwa South,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
84,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
85,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
86,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
87,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
88,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
89,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
90,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
91,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
92,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
93,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
94,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
95,Malnutrition,Abia,Isuikwuato,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
96,Malnutrition,Abia,Obi Ngwa,0,0,12,0,0,0.0,0,0,0,Jan,2013,12,0.0,12.0,0,"Tuesday, January 1, 2013",NGAB
97,Malnutrition,Abia,Obi Ngwa,0,0,11,0,4,4.0,0,0,0,Feb,2013,11,8.0,19.0,0,"Friday, February 1, 2013",NGAB
98,Malnutrition,Abia,Obi Ngwa,0,0,3,0,0,0.0,0,0,0,Mar,2013,3,0.0,3.0,0,"Friday, March 1, 2013",NGAB
99,Malnutrition,Abia,Obi Ngwa,0,7,10,0,0,1.0,0,0,0,Apr,2013,17,1.0,18.0,0,"Monday, April 1, 2013",NGAB
100,Malnutrition,Abia,Obi Ngwa,0,0,1,0,0,4.0,0,0,0,May,2013,1,4.0,5.0,0,"Wednesday, May 1, 2013",NGAB
101,Malnutrition,Abia,Obi Ngwa,0,0,2,0,0,1.0,0,0,0,Jun,2013,2,1.0,3.0,0,"Saturday, June 1, 2013",NGAB
102,Malnutrition,Abia,Obi Ngwa,0,10,5,0,0,0.0,0,0,0,Jul,2013,15,0.0,15.0,0,"Monday, July 1, 2013",NGAB
103,Malnutrition,Abia,Obi Ngwa,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
104,Malnutrition,Abia,Obi Ngwa,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
105,Malnutrition,Abia,Obi Ngwa,0,16,5,0,1,11.0,0,0,0,Oct,2013,21,12.0,33.0,0,"Tuesday, October 1, 2013",NGAB
106,Malnutrition,Abia,Obi Ngwa,0,5,10,0,0,0.0,0,0,0,Nov,2013,15,0.0,15.0,0,"Friday, November 1, 2013",NGAB
107,Malnutrition,Abia,Obi Ngwa,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
108,Malnutrition,Abia,Ohafia,0,1,1,0,0,0.0,0,0,0,Jan,2013,2,0.0,2.0,0,"Tuesday, January 1, 2013",NGAB
109,Malnutrition,Abia,Ohafia,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
110,Malnutrition,Abia,Ohafia,0,1,2,0,0,11.0,0,0,1,Mar,2013,3,11.0,14.0,1,"Friday, March 1, 2013",NGAB
111,Malnutrition,Abia,Ohafia,0,0,4,0,0,0.0,0,0,0,Apr,2013,4,0.0,4.0,0,"Monday, April 1, 2013",NGAB
112,Malnutrition,Abia,Ohafia,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
113,Malnutrition,Abia,Ohafia,0,0,1,0,0,0.0,0,0,0,Jun,2013,1,0.0,1.0,0,"Saturday, June 1, 2013",NGAB
114,Malnutrition,Abia,Ohafia,0,0,3,0,0,0.0,0,0,0,Jul,2013,3,0.0,3.0,0,"Monday, July 1, 2013",NGAB
115,Malnutrition,Abia,Ohafia,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
116,Malnutrition,Abia,Ohafia,0,1,1,0,0,0.0,0,0,0,Sep,2013,2,0.0,2.0,0,"Sunday, September 1, 2013",NGAB
117,Malnutrition,Abia,Ohafia,0,0,2,0,1,0.0,0,0,0,Oct,2013,2,1.0,3.0,0,"Tuesday, October 1, 2013",NGAB
118,Malnutrition,Abia,Ohafia,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
119,Malnutrition,Abia,Ohafia,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
120,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
121,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
122,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
123,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
124,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
125,Malnutrition,Abia,Osisioma Ngwa,0,2,1,0,0,0.0,0,0,0,Jun,2013,3,0.0,3.0,0,"Saturday, June 1, 2013",NGAB
126,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
127,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
128,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
129,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
130,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
131,Malnutrition,Abia,Osisioma Ngwa,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
132,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
133,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
134,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
135,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
136,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
137,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
138,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
139,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
140,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
141,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
142,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
143,Malnutrition,Abia,Ugwunagbo,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
144,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
145,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
146,Malnutrition,Abia,Ukwa East,0,0,7,0,0,0.0,0,0,0,Mar,2013,7,0.0,7.0,0,"Friday, March 1, 2013",NGAB
147,Malnutrition,Abia,Ukwa East,0,0,4,0,0,0.0,0,0,0,Apr,2013,4,0.0,4.0,0,"Monday, April 1, 2013",NGAB
148,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
149,Malnutrition,Abia,Ukwa East,0,1,3,0,0,0.0,0,0,0,Jun,2013,4,0.0,4.0,0,"Saturday, June 1, 2013",NGAB
150,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
151,Malnutrition,Abia,Ukwa East,0,2,2,0,0,0.0,0,0,0,Aug,2013,4,0.0,4.0,0,"Thursday, August 1, 2013",NGAB
152,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
153,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
154,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
155,Malnutrition,Abia,Ukwa East,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
156,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
157,Malnutrition,Abia,Ukwa West,0,1,0,0,0,0.0,0,0,0,Feb,2013,1,0.0,1.0,0,"Friday, February 1, 2013",NGAB
158,Malnutrition,Abia,Ukwa West,0,1,0,0,0,0.0,0,0,0,Mar,2013,1,0.0,1.0,0,"Friday, March 1, 2013",NGAB
159,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
160,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
161,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
162,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
163,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
164,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
165,Malnutrition,Abia,Ukwa West,0,0,1,0,0,0.0,0,0,0,Oct,2013,1,0.0,1.0,0,"Tuesday, October 1, 2013",NGAB
166,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
167,Malnutrition,Abia,Ukwa West,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
168,Malnutrition,Abia,Umuahia North,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
169,Malnutrition,Abia,Umuahia North,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
170,Malnutrition,Abia,Umuahia North,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
171,Malnutrition,Abia,Umuahia North,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
172,Malnutrition,Abia,Umuahia North,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
173,Malnutrition,Abia,Umuahia North,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
174,Malnutrition,Abia,Umuahia North,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
